text,url
百度首页,https://www.baidu.com/
设置,javascript:;
登录,https://passport.baidu.com/v2/?login&tpl=mn&u=http%3A%2F%2Fwww.baidu.com%2F&sms=5
资讯,https://www.baidu.com/s?rtt=1&bsst=1&cl=2&tn=news&ie=utf-8&word=go
图片,http://image.baidu.com/i?tn=baiduimage&ps=1&ct=201326592&lm=-1&cl=2&nc=1&ie=utf-8&dyTabStr=MCwxLDMsMiw2LDQsNSw4LDcsOQ%3D%3D&word=go
视频,https://www.baidu.com/sf/vsearch?pd=video&tn=vsearch&lid=9063191c0034e536&ie=utf-8&wd=go&rsv_spt=7&rsv_bp=1&f=8&oq=go&rsv_pq=9063191c0034e536&rsv_t=31e2MHGfGhg0X0%2BTYse4LPNDxiMvxuqU1wFbBsICVlRm0t1ONtOTwdouSq0
贴吧,http://tieba.baidu.com/f?fr=wwwt&ie=utf-8&dyTabStr=MCwxLDMsMiw2LDQsNSw4LDcsOQ%3D%3D&kw=go
知道,http://zhidao.baidu.com/q?ct=17&pn=0&tn=ikaslist&rn=10&fr=wwwt&ie=utf-8&dyTabStr=MCwxLDMsMiw2LDQsNSw4LDcsOQ%3D%3D&word=go
文库,http://wenku.baidu.com/search?lm=0&od=0&ie=utf-8&dyTabStr=MCwxLDMsMiw2LDQsNSw4LDcsOQ%3D%3D&word=go
采购,https://b2b.baidu.com/s?fr=wwwt&q=go
地图,https://map.baidu.com/?newmap=1&ie=utf-8&s=s%26wd%3Dgo
更多,http://www.baidu.com/more/
全部,https://www.baidu.com/s?rsv_idx=1&wd=go&fenlei=256&usm=7&ie=utf-8&base_query=go&tag_key=%E5%85%A8%E9%83%A8&rsv_dl=re_dl_tag_1&rsv_pq=9063191c0034e536&oq=go&rsv_t=bf92NHldgVfelGzrWkDkd8ecVHueeWUiXGsFpV45jqCBVpxQ81p7gQjVkl4
过去式,https://www.baidu.com/s?rsv_idx=1&wd=go%E7%9A%84%E8%BF%87%E5%8E%BB%E5%BC%8F&fenlei=256&usm=7&ie=utf-8&base_query=go&tag_key=%E8%BF%87%E5%8E%BB%E5%BC%8F&rsv_dl=re_dl_tag_2&rsv_pq=9063191c0034e536&oq=go&rsv_t=704av%2FGgN1vZub3ioQVF1pkRPrzBwA72Uy1U0L90kMch%2Bns%2FVdznqQ7z%2FK8
安装器,https://www.baidu.com/s?rsv_idx=1&wd=go%E5%AE%89%E8%A3%85%E5%99%A8&fenlei=256&usm=7&ie=utf-8&base_query=go&tag_key=%E5%AE%89%E8%A3%85%E5%99%A8&rsv_dl=re_dl_tag_3&rsv_pq=9063191c0034e536&oq=go&rsv_t=b3b76aNbq5m4%2FnuUdx2C%2BVCo7bPJb4TRIzIHrmzTLMLzBWeCLEq8rsKOWUY
语言,https://www.baidu.com/s?rsv_idx=1&wd=go%E8%AF%AD%E8%A8%80&fenlei=256&usm=7&ie=utf-8&base_query=go&tag_key=%E8%AF%AD%E8%A8%80&rsv_dl=re_dl_tag_4&rsv_pq=9063191c0034e536&oq=go&rsv_t=dc23k8Zr2M9Qj880gJ9IxCCjS88QsOHr5qwkxw3Cp6eP7pCQ1EVNHfWfy%2F0
意思,https://www.baidu.com/s?rsv_idx=1&wd=go%E7%9A%84%E6%84%8F%E6%80%9D&fenlei=256&usm=7&ie=utf-8&base_query=go&tag_key=%E6%84%8F%E6%80%9D&rsv_dl=re_dl_tag_5&rsv_pq=9063191c0034e536&oq=go&rsv_t=14b8VFsF5xr3AepnxvzHzH8SVRqFsmxF53uYLmMhDWilKYRNya6SZuXldMU
拼音存在吗,https://www.baidu.com/s?rsv_idx=1&wd=go%E6%8B%BC%E9%9F%B3%E5%AD%98%E5%9C%A8%E5%90%97&fenlei=256&usm=7&ie=utf-8&base_query=go&tag_key=%E6%8B%BC%E9%9F%B3%E5%AD%98%E5%9C%A8%E5%90%97&rsv_dl=re_dl_tag_6&rsv_pq=9063191c0034e536&oq=go&rsv_t=a4e0DUjcGtYT29xEqTQbVDsaXj5vPFBXNuy7dOTP1MLGDL6i0aTOg0mjp3g
围棋,https://www.baidu.com/s?rsv_idx=1&wd=go%E5%9B%B4%E6%A3%8B&fenlei=256&usm=7&ie=utf-8&base_query=go&tag_key=%E5%9B%B4%E6%A3%8B&rsv_dl=re_dl_tag_7&rsv_pq=9063191c0034e536&oq=go&rsv_t=519e%2B0oAwrueWLCtFjun3Jn%2B6bXnLaGVP8xb76rm0xWJgwD4XjbcGBaGgyk
怎么读,https://www.baidu.com/s?rsv_idx=1&wd=go%E6%80%8E%E4%B9%88%E8%AF%BB&fenlei=256&usm=7&ie=utf-8&base_query=go&tag_key=%E6%80%8E%E4%B9%88%E8%AF%BB&rsv_dl=re_dl_tag_8&rsv_pq=9063191c0034e536&oq=go&rsv_t=9955Ess7VNaLvhzvJO1LcD1COR7DlZwQM2CQBZpP4Y%2B0N0P%2FG6v0Z0MqSAg
英语,https://www.baidu.com/s?rsv_idx=1&wd=go%E8%8B%B1%E8%AF%AD&fenlei=256&usm=7&ie=utf-8&base_query=go&tag_key=%E8%8B%B1%E8%AF%AD&rsv_dl=re_dl_tag_9&rsv_pq=9063191c0034e536&oq=go&rsv_t=f2bckJx2la%2FO4hoy93%2BSpjHgLUlCP%2Fk7LcAvNLo%2FewZI1Q8Xhf7IUxvsxUE
音标,https://www.baidu.com/s?rsv_idx=1&wd=go%E9%9F%B3%E6%A0%87&fenlei=256&usm=7&ie=utf-8&base_query=go&tag_key=%E9%9F%B3%E6%A0%87&rsv_dl=re_dl_tag_10&rsv_pq=9063191c0034e536&oq=go&rsv_t=9c34rN68ucZoWseQAXbxdkJvLnzVn2EVFEdHTojfoyPJlMDf8INr9MVMUjQ
